               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.024367,            0.015737,                   0,             0.55101,             0.41877,             0.42159,             0.23997,            0.058744,             0.10031,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.024116,            0.015678,                   0,             0.55364,             0.38296,             0.38707,             0.22487,            0.064294,            0.095083,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,             0.02431,            0.015622,                   0,             0.63218,              0.4055,             0.43124,              0.2473,             0.05982,             0.10186,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.023976,            0.015732,                   0,             0.62879,             0.43336,             0.46783,             0.27096,            0.057698,            0.085708,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02387,            0.015283,                   0,             0.56449,             0.42706,              0.4388,             0.25157,            0.061053,            0.092548,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,             0.02381,            0.015246,                   0,             0.59772,             0.41744,             0.44573,             0.25665,            0.059594,             0.10294,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023629,            0.015253,                   0,             0.54272,             0.43568,              0.4386,             0.24937,            0.059023,            0.098313,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023185,            0.015289,                   0,             0.55586,             0.43037,             0.42876,             0.24589,            0.060474,             0.10258,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023188,            0.015372,                   0,             0.61598,             0.41378,             0.45112,             0.26293,            0.057721,             0.10756,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.023174,            0.014855,                   0,             0.60647,             0.41777,             0.45326,             0.25896,            0.056911,            0.092148,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.023246,            0.014874,                   0,             0.58318,             0.44349,             0.46002,             0.26169,            0.057543,            0.098087,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.023331,            0.014921,                   0,             0.71966,             0.41147,             0.47895,             0.27377,            0.057818,            0.094795,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023185,            0.014945,                   0,             0.62698,             0.39655,             0.43501,             0.25589,            0.060745,             0.10811,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,              0.0226,            0.014762,                   0,             0.66928,             0.42275,              0.4766,              0.2757,            0.060153,              0.0943,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.022592,            0.014898,                   0,             0.59378,             0.40418,             0.42402,             0.24479,            0.060984,            0.089571,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022522,            0.014632,                   0,             0.57253,             0.39878,             0.42225,             0.25131,            0.060101,             0.10671,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.022568,            0.014428,                   0,             0.61448,             0.44131,             0.47508,             0.27559,             0.05791,            0.084396,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022593,             0.01449,                   0,             0.60457,             0.46419,             0.48915,             0.29021,            0.056231,            0.093313,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,             0.02226,            0.014415,                   0,             0.64956,             0.42606,             0.47491,             0.28074,            0.057258,            0.087761,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022272,            0.014387,                   0,             0.57728,             0.40053,             0.42672,             0.24946,            0.062484,            0.098481,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022327,            0.014549,                   0,              0.6376,             0.41877,              0.4627,             0.26889,            0.060784,            0.099077,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.022366,            0.014848,                   0,             0.58197,             0.44463,             0.46168,             0.27691,            0.059439,             0.09627,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.022285,            0.014395,                   0,             0.62869,             0.39191,             0.43591,             0.25361,            0.062274,            0.099351,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.022257,             0.01438,                   0,             0.59706,             0.41269,             0.44196,             0.25667,            0.063049,            0.095907,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.022291,            0.014339,                   0,             0.60836,             0.41943,             0.45174,             0.26172,            0.060274,            0.094347,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,              0.0224,            0.014321,                   0,             0.62042,             0.41133,             0.45164,             0.26507,            0.059726,            0.091539,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.022711,            0.014433,                   0,             0.61782,             0.39887,             0.43704,             0.26067,            0.061545,            0.094753,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022536,            0.014047,                   0,             0.67208,             0.37003,             0.43163,             0.25874,            0.062056,            0.095891,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022833,            0.014348,                   0,             0.60731,             0.39227,             0.42787,             0.25587,            0.062907,             0.10248,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022627,            0.014269,                   0,              0.7261,             0.37135,             0.44475,             0.26658,             0.06126,            0.092898,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022473,            0.014335,                   0,             0.62237,             0.40053,             0.43992,             0.26205,            0.059781,            0.095401,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022724,            0.014263,                   0,             0.65285,             0.38727,             0.43875,             0.26161,            0.061572,            0.092421,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.023017,            0.014292,                   0,             0.60113,             0.40385,             0.43733,             0.26303,            0.061038,            0.091376,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02321,            0.014124,                   0,             0.61469,             0.42158,             0.45077,             0.27095,            0.059926,            0.093024,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.023188,            0.014185,                   0,              0.6068,             0.37763,             0.41205,             0.24515,            0.063437,            0.099091,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.023216,            0.014249,                   0,             0.52608,             0.41777,             0.41876,             0.25135,            0.061454,            0.092387,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.022719,            0.014101,                   0,             0.58961,             0.39015,             0.42065,              0.2528,            0.061413,            0.096174,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,             0.02247,            0.014087,                   0,             0.57298,             0.40981,             0.43345,             0.25703,            0.061184,            0.095406,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022361,            0.013883,                   0,             0.62724,             0.37101,              0.4178,             0.24815,            0.062139,             0.10171,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.022225,            0.013962,                   0,             0.56762,             0.40749,              0.4236,             0.25189,            0.061223,             0.10062,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.022075,            0.013775,                   0,             0.60669,             0.39484,             0.42479,             0.25316,            0.061858,             0.10173,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.022151,             0.01389,                   0,             0.57636,             0.40948,             0.42207,              0.2529,            0.062209,            0.099496,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021695,            0.013877,                   0,             0.59304,             0.39788,             0.41591,             0.24909,            0.061803,             0.10328,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.021639,            0.013918,                   0,             0.60284,             0.39608,             0.42494,             0.25614,            0.061354,             0.10088,                   0,           0.0010089,           0.0010089,           0.0010089
