               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.020485,            0.024665,                   0,             0.85942,             0.62735,             0.72121,             0.57171,            0.037842,            0.092283,                   0,            0.002855,            0.002855,            0.002855
                  72,             0.02045,            0.024591,                   0,               0.843,             0.64488,             0.72755,             0.57621,            0.037811,             0.08639,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.020253,            0.024546,                   0,             0.85076,             0.61648,             0.71689,             0.56827,            0.037696,            0.095664,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.020511,            0.024617,                   0,             0.87015,             0.63501,             0.73856,             0.58132,            0.036543,            0.089615,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.020289,            0.024244,                   0,             0.83046,             0.63386,             0.73172,             0.57547,            0.035998,            0.090943,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020385,             0.02429,                   0,             0.84337,             0.65523,             0.73838,             0.58643,            0.036375,            0.088976,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.020227,            0.024562,                   0,             0.85613,             0.64642,             0.74083,             0.58461,             0.03638,            0.088082,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.020255,            0.024236,                   0,             0.88739,             0.62861,             0.73958,             0.58801,            0.036659,            0.087877,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.019956,            0.024052,                   0,             0.83164,             0.66468,             0.74362,             0.58542,            0.036229,            0.087376,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.020046,            0.023912,                   0,             0.86051,             0.64474,             0.73801,             0.58555,            0.035945,            0.090193,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019988,             0.02383,                   0,             0.84804,             0.63833,             0.72533,              0.5794,            0.037821,            0.092289,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.019797,            0.024033,                   0,              0.8505,             0.64359,             0.72268,             0.57884,            0.037575,            0.091223,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019967,            0.024309,                   0,             0.87092,             0.64051,             0.73974,             0.58501,            0.036805,             0.08966,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.019715,            0.023696,                   0,             0.84772,             0.65168,              0.7403,             0.58525,            0.036553,            0.086082,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.019543,            0.023474,                   0,             0.84993,             0.65347,             0.74142,             0.58523,            0.036267,            0.089351,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.019755,            0.023523,                   0,             0.88923,              0.6307,              0.7326,             0.58168,             0.03682,            0.090981,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,             0.01971,            0.023668,                   0,             0.85464,             0.64433,             0.74157,             0.58874,            0.036089,            0.087803,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.019545,             0.02356,                   0,             0.88488,             0.64088,             0.74941,              0.5915,            0.035748,            0.086485,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.019629,            0.023453,                   0,             0.84943,             0.65423,             0.74612,             0.58824,            0.035801,            0.089316,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.019425,            0.023642,                   0,              0.8617,             0.64699,             0.74164,             0.58977,             0.03622,            0.088455,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.019215,            0.023197,                   0,             0.88339,              0.6376,             0.73957,             0.58658,             0.03638,             0.08951,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.019322,             0.02322,                   0,             0.86954,             0.63463,             0.74044,             0.58624,            0.036182,            0.089931,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.019271,            0.023437,                   0,             0.87145,               0.643,             0.74314,             0.58861,            0.035996,            0.087095,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.019061,            0.022834,                   0,             0.88691,             0.63544,             0.74152,             0.59061,             0.03633,            0.089991,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01932,            0.023611,                   0,             0.83818,             0.63686,             0.72307,             0.58072,            0.037061,            0.091065,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.019152,            0.023112,                   0,             0.87492,              0.6339,             0.73523,              0.5875,            0.036581,            0.090463,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.019346,             0.02317,                   0,             0.85142,              0.6428,             0.73886,             0.58888,            0.036066,            0.089383,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019016,            0.023027,                   0,             0.87161,             0.64461,              0.7467,             0.59148,            0.036129,            0.089168,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.019113,            0.022882,                   0,             0.86833,             0.64283,             0.73833,             0.59031,            0.036302,            0.092127,                   0,           0.0010089,           0.0010089,           0.0010089
